time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
18,2000-08-18 10:20,2267,1993,274,1010,0,983,11,482,4.7033195,18,12,5.078776,10,4.9438033,151,1351,65.251656,1,4,1872,4,1.2110043,496,254,9,179,193,151,107,183,1316,475,669,72,15,296,226,18,647,401,74,267,402,11,0.5513895,1336,98,131,144,33,25,7,7,
19,2000-08-18 10:21,2321,2020,301,1870,0,150,11,401,5.78803,19,16,4.1262374,10,3.8133664,167,964,46.125748,1,2,1615,4,1.4371517,504,279,12,268,446,211,374,305,1225,425,955,50,6,114,123,8,270,136,289,225,730,12,1.1305472,704,288,195,203,82,89,69,18,
20,2000-08-18 10:22,2193,1694,499,1500,0,194,11,420,5.2214284,20,11,4.8211336,10,4.6097994,169,751,46.2071,1,8,1789,4,1.2258245,292,352,79,623,189,611,119,208,1211,288,1005,42,105,110,245,130,206,47,241,131,874,7,0.9512084,517,241,487,197,27,12,14,4,
21,2000-08-18 10:23,2983,1774,1209,1468,0,306,11,409,7.2933984,18,13,5.0197296,10,4.842728,163,628,52.70552,1,4,2274,4,1.3117855,159,1078,259,361,346,363,248,60,1574,150,1006,31,110,299,677,112,568,57,93,160,846,9,0.8545089,799,177,262,259,152,23,19,31,1
22,2000-08-18 10:24,1826,1614,212,808,0,806,11,365,5.00274,19,12,5.6970263,11,5.435564,145,1205,60.50345,1,4,1360,4,1.3426471,294,138,7,231,253,158,201,97,1286,287,729,21,9,413,47,11,557,193,94,179,550,9,0.8291347,994,201,77,157,86,28,11,16,1
23,2000-08-18 10:25,865,689,176,671,0,18,11,235,3.680851,21,11,4.647315,10,4.296081,140,184,21.142857,1,11,630,5,1.3730159,91,82,22,157,143,117,146,44,561,90,440,8,81,44,47,87,121,37,53,68,372,9,1.131792,236,144,117,82,29,29,6,7,
24,2000-08-18 10:26,2127,1423,704,1085,0,338,11,523,4.0669217,15,11,4.799719,11,4.666901,189,631,35.137566,1,8,1265,5,1.681423,134,449,188,204,209,206,202,12,1279,132,1054,14,250,114,250,253,225,47,85,393,661,8,0.50446635,731,451,140,52,16,12,3,4,2
25,2000-08-18 10:27,1623,1303,320,575,0,728,11,363,4.4710746,18,12,5.240215,10,5.108212,190,935,35.031578,1,9,1183,4,1.3719357,579,176,103,103,104,101,63,11,717,579,447,143,137,209,61,140,270,331,248,164,283,9,0.48243994,955,116,84,98,28,7,3,1,3
26,2000-08-18 10:28,1207,1122,85,901,0,221,11,313,3.85623,19,15,5.6622105,9,5.04902,187,461,30.294117,1,12,933,4,1.2936763,149,77,6,237,209,170,175,46,928,143,588,16,7,187,52,7,340,62,81,113,475,12,1.2029825,545,170,100,170,30,10,9,,12
27,2000-08-18 10:29,2397,2044,353,1262,0,782,11,820,2.9231708,19,11,5.1497064,9,4.6986303,290,674,33.11724,3,30,1894,4,1.2655755,245,283,13,641,348,654,332,98,1709,240,1454,83,15,136,259,62,255,16,224,168,1286,10,1.1460159,562,685,334,244,61,9,29,14,4
